,id,title,type,abstract,source,year,authors,keywords,link,month,day,revision,pages,volume,issue,websites,publisher,city,edition,institution,series,chapter,editors,file_attached,reader_count,reader_count_by_academic_status,reader_count_by_subdiscipline,reader_count_by_country,group_count,arxiv,doi,isbn,issn,pii,pmid,pui,scopus,sgr
1,4f9c1f5c-943e-3b23-9e7b-481f6a20f989,Cultural geography: the busyness of being 'more-than-representational',journal,"an 'umbrella term' (83) has become a lightening rod for disciplinary self-critique (83) 'more-than-representational' theory (84) ""Greatest unity is found in an insistence on expanding our once comfortable understanding of 'the social' and how it can be regarded as something researchable"" (84) ""In short, so much ordinary action gives no advance notice of what it will become. Yet, it still makes critical differences to our esperiences of space and place (Thrift 2004)"" (84) Phenomenology (86) Ethnography - from Miller 2001 (87) Research design still need work ('unschackle') (89) The body! (89)",Progress in Human Geography,2005.0,"Lorimer, H",,http://www.mendeley.com/research/cultural-geography-busyness-morethanrepresentational,,,,83-94,1,,['http://eprints.gla.ac.uk/15268/'],,,,,,,,False,326,"{'Lecturer': 25, 'Student  > Ph. D. Student': 129, 'Professor > Associate Professor': 14, 'Student  > Master': 34, 'Student  > Bachelor': 21, 'Student  > Doctoral Student': 22, 'Lecturer > Senior Lecturer': 8, 'Other': 7, 'Professor': 14, 'Researcher': 36, 'Student  > Postgraduate': 16}","{'Agricultural and Biological Sciences': {'Agricultural and Biological Sciences': 2}, 'Medicine and Dentistry': {'Medicine and Dentistry': 1}, 'Arts and Humanities': {'Arts and Humanities': 50}, 'Earth and Planetary Sciences': {'Earth and Planetary Sciences': 9}, 'Environmental Science': {'Environmental Science': 20}, 'Chemistry': {'Chemistry': 1}, 'Sports and Recreations': {'Sports and Recreations': 1}, 'Business, Management and Accounting': {'Business, Management and Accounting': 5}, 'Economics, Econometrics and Finance': {'Economics, Econometrics and Finance': 1}, 'Design': {'Design': 7}, 'Computer Science': {'Computer Science': 3}, 'Philosophy': {'Philosophy': 4}, 'Social Sciences': {'Social Sciences': 222}}","{'Australia': 2, 'Republic of Singapore': 1, 'Switzerland': 1, 'South Africa': 1, 'United Kingdom': 27, 'Portugal': 1, 'Poland': 1, 'Germany': 3, 'New Zealand': 2, 'Finland': 1, 'United States': 7, 'Denmark': 1, 'Ireland': 1, 'Netherlands': 2, 'Canada': 4, 'Sweden': 1}",,,10.1191/0309132505ph531pr,0309-1325,03091325,,11230497,40350644,2-s2.0-14844303786,14844303786
2,e48d407b-0f97-3236-a99a-a167bd8c6521,Biodistribution of colloidal gold nanoparticles after intravenous administration: Effect of particle size,journal,"Purpose of the present research work was to evaluate the biological distribution of differently size gold nanoparticles (NP) up on intravenous administration in mice. Another objective was to study effect of particle size on biological distribution of gold NP to enable their diverse applications in nanotechnology. Gold NP of different particle sizes, mainly 15, 50, 100 and 200 nm, were synthesized by modifying citrate ion concentration. Synthesized gold nanoparticles were characterized by SEM and their size distribution was studied by particle size analyzer. Gold NP was suspended in sodium alginate solution (0.5%, w/v) and administered to mice (1 g/kg, intravenously) [n = 3]. After 24 h of administration of gold NP, blood was collected under light ether anesthesia, mice were sacrificed by cervical dislocation and various tissues/organs were removed. The tissues were then washed with saline, homogenized and lysed with aqua regia. The determination of gold in samples was carried out quantitatively by inductively coupled plasma mass spectrometry (ICP-MS). SEM study revealed spherical morphology of gold NP with narrow particle size distribution. Biodistribution study revealed gold NPs of all sizes were mainly accumulated in organs like liver, lung and spleen. The accumulation of gold NP in various tissues was found to be depending on particle size. 15 nm gold NP revealed higher amount of gold and number of particles in all the tissues including blood, liver, lung, spleen, kidney, brain, heart, stomach. Interestingly, 15 and 50 nm gold NP were able to pass blood-brain barrier as evident from gold concentration in brain. Two-hundred nanometers gold NP showed very minute presence in organs including blood, brain, stomach and pancreas. The results revealed that tissue distribution of gold nanoparticles is size-dependent with the smallest 15 nm nanoparticles showing the most widespread organ distribution. ?? 2008 Elsevier B.V. All rights reserved.",Colloids and Surfaces B: Biointerfaces,2008.0,"Sonavane, Ganeshchandra; Tomoda, Keishiro; Makino, Kimiko","['Biodistribution', 'Gold nanoparticles', 'Intravenous', 'Mice']",http://www.mendeley.com/research/biodistribution-colloidal-gold-nanoparticles-after-intravenous-administration-effect-particle-size-1,10.0,15.0,,274-280,66,2,,,,,,,,,False,257,"{'Lecturer': 1, 'Student  > Ph. D. Student': 108, 'Professor > Associate Professor': 8, 'Student  > Master': 43, 'Student  > Bachelor': 22, 'Student  > Doctoral Student': 14, 'Lecturer > Senior Lecturer': 1, 'Other': 5, 'Professor': 5, 'Researcher': 42, 'Student  > Postgraduate': 8}","{'Immunology and Microbiology': {'Immunology and Microbiology': 1}, 'Psychology': {'Psychology': 1}, 'Biochemistry, Genetics and Molecular Biology': {'Biochemistry, Genetics and Molecular Biology': 6}, 'Chemical Engineering': {'Chemical Engineering': 2}, 'Medicine and Dentistry': {'Medicine and Dentistry': 24}, 'Arts and Humanities': {'Arts and Humanities': 1}, 'Neuroscience': {'Neuroscience': 1}, 'Business, Management and Accounting': {'Business, Management and Accounting': 1}, 'Chemistry': {'Chemistry': 74}, 'Materials Science': {'Materials Science': 16}, 'Agricultural and Biological Sciences': {'Agricultural and Biological Sciences': 71}, 'Physics and Astronomy': {'Physics and Astronomy': 21}, 'Pharmacology, Toxicology and Pharmaceutical Science': {'Pharmacology, Toxicology and Pharmaceutical Science': 4}, 'Engineering': {'Engineering': 28}, 'Social Sciences': {'Social Sciences': 3}, 'Environmental Science': {'Environmental Science': 3}}","{'Mexico': 1, 'Spain': 1, 'United Kingdom': 5, 'Portugal': 2, 'Italy': 2, 'France': 1, 'Russia': 2, 'China': 1, 'Germany': 1, 'Japan': 1, 'United States': 3, 'Czech Republic': 1, 'Brazil': 1, 'Denmark': 1, 'Netherlands': 2, 'Lithuania': 1, 'India': 1}",,,10.1016/j.colsurfb.2008.07.004,0927-7765 (Print)\r0927-7765 (Linking),09277765,S0927776508002695,18722754,50248719,2-s2.0-50649113474,50649113474
4,2802edbb-90fd-3d5f-9678-65cad79ba924,Multiple viewpoint systems for music prediction,journal,"This paper examines the prediction and generation of music using a multiple view-point system, a collection of independent views of the musical surface each of which models a specific type of musical phenomena. Both the general style and a particular piece are modeled using dual short-term and long-term theories, and the model is created using machine learning techniques on a corpus of musical examples. The models are used for analysis and prediction, and we conjecture that highly predictive theories will also generate original, acceptable, works. Although the quality of the works generated is hard to quantify objectively, the predictive power of models can be measured by the notion of entropy, or unpredictability. Highly predictive theories will produce low-entropy estimates of a musical language. The methods developed are applied to the Bach chorale melodies. Multiple-viewpoint systems are learned from a sample of 95 chorales, estimates of entropy are produced, and a predictive theory is used to generate new, unseen pieces.",Journal of New Music Research,1995.0,"Conklin, Darrell; Witten, Ian H.",,http://www.mendeley.com/research/multiple-viewpoint-systems-music-prediction,,,,51-73,24,1,['http://www.tandfonline.com/doi/abs/10.1080/09298219508570672'],,,,,,,,False,104,"{'Lecturer': 4, 'Student  > Ph. D. Student': 32, 'Professor > Associate Professor': 8, 'Student  > Master': 18, 'Student  > Bachelor': 5, 'Student  > Doctoral Student': 6, 'Lecturer > Senior Lecturer': 1, 'Professor': 6, 'Researcher': 16, 'Student  > Postgraduate': 8}","{'Linguistics': {'Linguistics': 1}, 'Agricultural and Biological Sciences': {'Agricultural and Biological Sciences': 2}, 'Philosophy': {'Philosophy': 1}, 'Mathematics': {'Mathematics': 3}, 'Engineering': {'Engineering': 7}, 'Arts and Humanities': {'Arts and Humanities': 19}, 'Neuroscience': {'Neuroscience': 1}, 'Computer Science': {'Computer Science': 59}, 'Business, Management and Accounting': {'Business, Management and Accounting': 2}, 'Psychology': {'Psychology': 7}, 'Social Sciences': {'Social Sciences': 2}}","{'Belgium': 1, 'Australia': 1, 'United States': 1, 'Taiwan': 1, 'Germany': 2, 'United Kingdom': 9, 'Greece': 2, 'Spain': 3, 'Portugal': 1, 'Brazil': 3, 'France': 2, 'Japan': 1, 'Colombia': 1, 'Malta': 1, 'Netherlands': 2, 'Finland': 1}",,,10.1080/09298219508570672,,0929-8215,,,368705658,2-s2.0-84876038491,84876038491
5,0268f5ac-2756-3316-a743-fb81ceaae5af,Ai methods in algorithmic composition: A comprehensive survey,journal,"Algorithmic composition is the partial or total automation of the process of music composition by using computers. Since the 1950s, different computational techniques related to Artificial Intelligence have been used for algorithmic composition, including grammatical representations, probabilistic methods, neural networks, symbolic rule-based systems, constraint programming and evolutionary algorithms. This survey aims to be a comprehensive account of research on algorithmic composition, presenting a thorough view of the field for researchers in Artificial Intelligence.",Journal of Artificial Intelligence Research,2013.0,"Fernández, Jose David; Vico, Francisco",,http://www.mendeley.com/research/ai-methods-algorithmic-composition-comprehensive-survey,11.0,,,513-582,48,,,,,,,,,,False,82,"{'Student  > Bachelor': 11, 'Researcher': 9, 'Other': 2, 'Student  > Ph. D. Student': 26, 'Professor > Associate Professor': 1, 'Librarian': 1, 'Lecturer': 1, 'Student  > Master': 21, 'Student  > Doctoral Student': 4, 'Lecturer > Senior Lecturer': 2, 'Professor': 1, 'Student  > Postgraduate': 3}","{'Agricultural and Biological Sciences': {'Agricultural and Biological Sciences': 3}, 'Physics and Astronomy': {'Physics and Astronomy': 2}, 'Arts and Humanities': {'Arts and Humanities': 14}, 'Engineering': {'Engineering': 8}, 'Pharmacology, Toxicology and Pharmaceutical Science': {'Pharmacology, Toxicology and Pharmaceutical Science': 1}, 'Design': {'Design': 1}, 'Computer Science': {'Computer Science': 48}, 'Business, Management and Accounting': {'Business, Management and Accounting': 1}, 'Neuroscience': {'Neuroscience': 2}, 'Psychology': {'Psychology': 1}, 'Social Sciences': {'Social Sciences': 1}}","{'Belgium': 1, 'Ecuador': 1, 'Switzerland': 1, 'United Kingdom': 3, 'Korea (South)': 1, 'United States': 3, 'Malta': 1, 'Netherlands': 1, 'Spain': 1}",,1402.0585,10.1613/jair.3908,,10769757,,,370351145,2-s2.0-84888322062,84888322062
6,687aa02f-9a23-3142-a3e8-52abadb49971,Regression Quantiles,journal,No abstract is available for this item.,Econometrica,1978.0,"Koenker, Roger W; Bassett, Gilbert",,http://www.mendeley.com/research/regression-quantiles,,,,33-50,46,1,['http://ideas.repec.org/a/ecm/emetrp/v46y1978i1p33-50.html'],,,,,,,,False,690,"{'Student  > Bachelor': 25, 'Professor > Associate Professor': 61, 'Other': 26, 'Student  > Ph. D. Student': 237, 'Researcher': 126, 'Librarian': 1, 'Lecturer': 19, 'Student  > Master': 102, 'Student  > Doctoral Student': 39, 'Lecturer > Senior Lecturer': 5, 'Professor': 27, 'Student  > Postgraduate': 22}","{'Energy': {'Energy': 1}, 'Biochemistry, Genetics and Molecular Biology': {'Biochemistry, Genetics and Molecular Biology': 4}, 'Chemical Engineering': {'Chemical Engineering': 1}, 'Mathematics': {'Mathematics': 76}, 'Medicine and Dentistry': {'Medicine and Dentistry': 24}, 'Arts and Humanities': {'Arts and Humanities': 2}, 'Neuroscience': {'Neuroscience': 4}, 'Earth and Planetary Sciences': {'Earth and Planetary Sciences': 24}, 'Chemistry': {'Chemistry': 4}, 'Sports and Recreations': {'Sports and Recreations': 2}, 'Business, Management and Accounting': {'Business, Management and Accounting': 50}, 'Psychology': {'Psychology': 12}, 'Computer Science': {'Computer Science': 35}, 'Agricultural and Biological Sciences': {'Agricultural and Biological Sciences': 102}, 'Physics and Astronomy': {'Physics and Astronomy': 5}, 'Engineering': {'Engineering': 40}, 'Environmental Science': {'Environmental Science': 42}, 'Linguistics': {'Linguistics': 3}, 'Economics, Econometrics and Finance': {'Economics, Econometrics and Finance': 215}, 'Social Sciences': {'Social Sciences': 44}}","{'Belgium': 2, 'Spain': 5, 'Taiwan': 1, 'Indonesia': 1, 'Portugal': 3, 'Italy': 9, 'Poland': 2, 'Malaysia': 2, 'Panama': 1, 'China': 2, 'Vietnam': 1, 'Colombia': 2, 'Argentina': 1, 'France': 6, 'Switzerland': 3, 'Chile': 3, 'Canada': 2, 'India': 2, 'Australia': 6, 'Ecuador': 1, 'Netherlands': 3, 'Korea (South)': 1, 'Peru': 1, 'Brazil': 13, 'United Kingdom': 6, 'Austria': 2, 'Russia': 1, 'Tanzania': 1, 'Israel': 2, 'South Africa': 2, 'New Zealand': 1, 'Japan': 4, 'United States': 26, 'Denmark': 6, 'Mexico': 2, 'Germany': 6}",,arXiv:1011.1669v3,10.2307/1913643,00129682,00129682,,5218166267893792427,,,
8,b56e9d5e-ccd5-3a6a-8f00-f77c40ad698e,Iteration of meromorphic functions,generic,"This paper attempts to describe some of the results obtained in the iteration theory of transcendental meromorphic functions, not excluding the case of entire functions. The reader is not expected to be familiar with the iteration theory of rational functions. On the other hand, some aspects where the transcendental case is analogous to the rational case are treated rather briefly here. For example, we introduce the different types of components of the Fatou set that occur in the iteration of rational functions but omit a detailed description of these types. Instead, we concentrate on the types of components that are special to transcendental functions (Baker domains and wandering domains).",Bulletin of the American Mathematical Society,1993.0,"Bergweiler, Walter","['Baker domain', 'Entire function', 'Fatou set', 'Iteration', 'Julia set', 'Meromorphic function', 'Newton???s method', 'Periodic point', 'Set of normality', 'Wandering domain']",http://www.mendeley.com/research/iteration-meromorphic-functions,,,,151-188,29,2,,,,,,,,,False,17,"{'Lecturer': 1, 'Professor > Associate Professor': 4, 'Professor': 1, 'Student  > Ph. D. Student': 7, 'Student  > Doctoral Student': 2, 'Researcher': 2}","{'Computer Science': {'Computer Science': 2}, 'Mathematics': {'Mathematics': 15}}","{'United Kingdom': 1, 'India': 2}",,math/9310226,10.1090/S0273-0979-1993-00432-4,,02730979,,,447131679,2-s2.0-84967708596,84967708596
9,9dbd251f-f026-37b6-93fd-cd0ba1898389,"Proceedings of the eighth international conference on computational semantics IWCS-8 : January 7-9, 2009, Tilburg, The Netherlands",book,Rugtitel: Proceedings of IWCS-8.,Proceedings of the Eighth International Conference on Computational Semantics,2009.0,"Bunt, H.C. (Hendrik Cornelis); Petukhova, Volha (Volha Viktarauna); International Conference on Computational Semantics, IWCS (8 : 2009 : Tilburg)",,http://www.mendeley.com/research/proceedings-eighth-international-conference-computational-semantics-iwcs8-january-79-2009-tilburg-ne,,,,140-156,,,,"Tilburg University, Department of Communication and Information Sciences",,,,,,,False,3,"{'Student  > Bachelor': 1, 'Student  > Master': 1, 'Student  > Postgraduate': 1}","{'Linguistics': {'Linguistics': 1}, 'Computer Science': {'Computer Science': 2}}",{'United Kingdom': 1},,,10.3115/1693756.1693772,9789074029346,,,,,,
11,30a3e7b4-8df6-3cb0-91e4-b8ee77fbed2d,Progress in Human Geography lecture * Diverse economies : performative practices for ‘ other worlds ’,journal,,,2008.0,"Gibson-Graham, None","['activism', 'ethical practice', 'knowledge commons', 'ontological reframing', 'performativity', 'scholar', 'thinking practices']",http://www.mendeley.com/research/progress-human-geography-lecture-diverse-economies-performative-practices-other-worlds,,,,613-632,32,March 2006,,,,,,,,,False,24,"{'Lecturer': 3, 'Student  > Ph. D. Student': 3, 'Professor > Associate Professor': 1, 'Student  > Master': 6, 'Student  > Bachelor': 1, 'Student  > Doctoral Student': 4, 'Lecturer > Senior Lecturer': 1, 'Professor': 1, 'Researcher': 3, 'Student  > Postgraduate': 1}","{'Arts and Humanities': {'Arts and Humanities': 2}, 'Environmental Science': {'Environmental Science': 5}, 'Earth and Planetary Sciences': {'Earth and Planetary Sciences': 1}, 'Economics, Econometrics and Finance': {'Economics, Econometrics and Finance': 1}, 'Social Sciences': {'Social Sciences': 15}}",{'United States': 1},,,10.1177/0309132508090821,,,,,,,
12,871b4d15-c8bb-3fbb-a299-b0817ffa33ad,Urban home food gardens in the Global North: Research traditions and future directions,generic,"In the United States, interest in urban agriculture has grown dramatically. While community gardens have sprouted across the landscape, home food gardens - arguably an ever-present, more durable form of urban agriculture - have been overlooked, understudied, and unsupported by government agencies, non-governmental organizations, and academics. In part a response to the invisibility of home gardens, this paper is a manifesto for their study in the Global North. It seeks to develop a multi-scalar and multidisciplinary research framework that acknowledges the garden's social and ecological or material dimensions. Given the lack of existing research, we draw on the more extensive literature on home gardens in the South and community gardens in the North to develop a set of hypotheses about the social-ecological effects of urban home food gardens in the North. These gardens, we hypothesize, contribute to food security, community development, cultural reproduction, and resilience at multiple scales; conserve agrobiodiversity; and support urban biodiversity. They may also have negative ecological effects, such as stormwater nutrient loading. Because of the entanglement of the social and the ecological or material in the garden, we review three theoretical perspectives - social ecological systems theory, actor-network theory, and assemblage theory - that have been or could be applied to the multi-scalar and multidisciplinary study of the garden. We also review sampling and analytic methods for conducting home garden research. The paper concludes with a discussion of opportunities to extend the research agenda beyond descriptive analysis, the primary focus of garden research to date.[PUBLICATION ABSTRACT]",Agriculture and Human Values,2014.0,"Taylor, John R.; Lovell, Sarah Taylor","['Ecosystem services', 'Food security', 'Global North', 'Home garden', 'Resilience', 'Urban agriculture']",http://www.mendeley.com/research/urban-home-food-gardens-global-north-research-traditions-future-directions,,,,285-305,31,2,,Kluwer Academic Publishers,,,,,,,False,127,"{'Student  > Bachelor': 7, 'Researcher': 27, 'Other': 6, 'Student  > Ph. D. Student': 30, 'Professor > Associate Professor': 5, 'Librarian': 1, 'Lecturer': 6, 'Student  > Master': 29, 'Student  > Doctoral Student': 10, 'Lecturer > Senior Lecturer': 1, 'Professor': 2, 'Student  > Postgraduate': 3}","{'Agricultural and Biological Sciences': {'Agricultural and Biological Sciences': 29}, 'Unspecified': {'Unspecified': 1}, 'Medicine and Dentistry': {'Medicine and Dentistry': 1}, 'Arts and Humanities': {'Arts and Humanities': 2}, 'Earth and Planetary Sciences': {'Earth and Planetary Sciences': 6}, 'Psychology': {'Psychology': 1}, 'Business, Management and Accounting': {'Business, Management and Accounting': 1}, 'Computer Science': {'Computer Science': 1}, 'Economics, Econometrics and Finance': {'Economics, Econometrics and Finance': 1}, 'Pharmacology, Toxicology and Pharmaceutical Science': {'Pharmacology, Toxicology and Pharmaceutical Science': 1}, 'Engineering': {'Engineering': 2}, 'Design': {'Design': 5}, 'Environmental Science': {'Environmental Science': 32}, 'Social Sciences': {'Social Sciences': 44}}","{'United Kingdom': 1, 'Canada': 1, 'United States': 5, 'Spain': 1}",,,10.1007/s10460-013-9475-1,"0889-048X, 0889-048X",0889048X,,,52930292,2-s2.0-84897031069,84897031069
13,9aaa4406-35df-3733-b87f-1f223dd016da,Trace element discrimination diagrams for the tectonic interpretation of granitic rocks,journal,"Granites may be subdivided according to their intrusive settings into four main groups—ocean ridge granites (ORG), volcanic arc granites (VAG), within plate granites (WPG) and collision granites (COLG)—and the granites within each group may be further subdivided according to their precise settings and petrological characteristics. Using a data bank containing over 600 high quality trace element analyses of granites from known settings, it can be demonstrated using ORG-normalized geochemical patterns and element-SiO2 plots that most of these granite groups exhibit distinctive trace element characteristics. Discrimination of ORG, VAG, WPG and syn-COLG is most effective in Rb–Y–Nb and Rb–Yb–Ta space, particularly on projections of Y–Nb, Yb–Ta, Rb–(Y + Nb) and Rb–(Yb + Ta). Discrimination boundaries, though drawn empirically, can be shown by geochemical modelling to have a theoretical basis in the different petrogenetic histories of the various granite groups. Post-collision granites present the main problem of tectonic classification, since their characteristics depend on the thickness and composition of the lithosphere involved in the collision event and on the precise timing and location of magmatism. Provided they are coupled with a consideration of geological constraints, however, studies of trace element compositions in granites can clearly help in the elucidation of post-Archaean tectonic settings.",Journal of Petrology,1984.0,"Pearce, Julian A.; Harris, Nigel B W; Tindle, Andrew G.",,http://www.mendeley.com/research/trace-element-discrimination-diagrams-tectonic-interpretation-granitic-rocks,11.0,,,956-983,25,4,,,,,,,,,False,229,"{'Student  > Bachelor': 18, 'Researcher': 45, 'Other': 8, 'Student  > Ph. D. Student': 68, 'Professor > Associate Professor': 14, 'Librarian': 1, 'Lecturer': 3, 'Student  > Master': 37, 'Student  > Doctoral Student': 10, 'Lecturer > Senior Lecturer': 2, 'Professor': 12, 'Student  > Postgraduate': 11}","{'Materials Science': {'Materials Science': 1}, 'Agricultural and Biological Sciences': {'Agricultural and Biological Sciences': 1}, 'Economics, Econometrics and Finance': {'Economics, Econometrics and Finance': 1}, 'Mathematics': {'Mathematics': 1}, 'Engineering': {'Engineering': 2}, 'Arts and Humanities': {'Arts and Humanities': 1}, 'Computer Science': {'Computer Science': 3}, 'Earth and Planetary Sciences': {'Earth and Planetary Sciences': 215}, 'Chemical Engineering': {'Chemical Engineering': 1}, 'Environmental Science': {'Environmental Science': 3}}","{'Australia': 3, 'United Kingdom': 5, 'Italy': 1, 'Poland': 1, 'France': 1, 'Russia': 1, 'China': 1, 'New Zealand': 1, 'Finland': 1, 'United States': 5, 'Brazil': 1, 'Denmark': 1, 'Mexico': 3, 'Canada': 1, 'Germany': 4}",,,10.1093/petrology/25.4.956,0022-3530,00223530,,,250782255,2-s2.0-0021364074,0021364074
