id,user_input,uri,doi,title,authors,year,citations_gs,citations_wos
314,,,,FINDING DUPLICATE ROWS IN A LINEAR-PROGRAMMING MODEL,"TOMLIN, JA; WELCH, JS",1986,,16
315,,,10.1016/0169-409x(95)00022-y,WHICH POLYMERS CAN MAKE NANOPARTICULATE DRUG CARRIERS LONG-CIRCULATING,"TORCHILIN, VP; TRUBETSKOY, VS",1995,,297
316,,,10.1016/0006-291x(91)91869-e,NON-PHAGOCYTIC UPTAKE OF INTRAVENOUSLY INJECTED MICROSPHERES IN RAT SPLEEN - INFLUENCE OF PARTICLE-SIZE AND HYDROPHILIC COATING,"MOGHIMI, SM; PORTER, CJH; MUIR, IS; ILLUM, L; DAVIS, SS",1991,,199
317,,,"10.1016/j,jconrel.2006.10.015",Chemotherapy of brain turnour using doxorubicin bound to surfactant-coated poly(butyl cyanoacrylate) nanoparticles: Revisiting the role of surfactants,"Petri, B.; Bootz, A.; Khalansky, A.; Hekmatara, T.; Mueller, R.; Uhl, R.; Kreuter, J.; Gelperina, S.",2007,,135
318,,,10.1023/a:1015895804597,LYMPHATIC TARGETING OF POLYMERIC NANOPARTICLES AFTER INTRAPERITONEAL ADMINISTRATION IN RATS,"MAINCENT, P; THOUVENOT, P; AMICABILE, C; HOFFMAN, M; KREUTER, J; COUVREUR, P; DEVISSAGUET, JP",1992,,51
319,,,10.1016/s0378-5173(99)00447-0,Biodistribution of fluoresceinated dextran using novel nanoparticles evading reticuloendothelial system,"Gaur, U; Sahoo, SK; De, TK; Ghosh, PC; Maitra, A; Ghosh, PK",2000,,138
320,,,10.1038/382607a0,A DNA-based method for rationally assembling nanoparticles into macroscopic materials,"Mirkin, CA; Letsinger, RL; Mucic, RC; Storhoff, JJ",1996,,3850
321,,,10.1016/0378-5173(86)90021-9,BIODISTRIBUTION OF POLY(BUTYL 2-CYANOACRYLATE) NANOPARTICLES IN RABBITS,"DOUGLAS, SJ; DAVIS, SS; ILLUM, L",1986,,62
322,,,10.1023/a:1012029517394,The oral absorption of micro- and nanoparticulates: Neither exceptional nor unusual,"Florence, AT",1997,,360
323,,,10.1016/s0378-5173(02)00267-3,"Preparation, characterization and biodistribution of ultrafine chitosan nanoparticles","Banerjee, T; Mitra, S; Singh, AK; Sharma, RK; Maitra, A",2002,,175
324,,,10.1016/j.canlet.2005.07.035,Selective laser photo-thermal therapy of epithelial carcinoma using anti-EGFR antibody conjugated gold nanoparticles,"El-Sayed, Ivan H.; Huang, Xiaohua; El-Sayed, Mostafa A.",2006,,612
325,,,10.1016/0169-409x(95)00025-3,LONG CIRCULATING MICROPARTICULATE DRUG CARRIERS,"STOLNIK, S; ILLUM, L; DAVIS, SS",1995,,478
326,,,10.1093/nar/gnh133,Gold nanoparticle probe-based gene expression analysis with unamplified total human RNA,"Huber, M; Wei, TF; Muller, UR; Lefebvre, PA; Marla, SS; Bao, YP",2004,,78
327,,,10.1016/0169-409x(95)00045-9,TARGETING OF COLLOIDS TO LYMPH-NODES - INFLUENCE OF LYMPHATIC PHYSIOLOGY AND COLLOIDAL CHARACTERISTICS,"HAWLEY, AE; DAVIS, SS; ILLUM, L",1995,,110
328,,,10.1016/j.jconrel.2006.06.017,PEG-modified gold nanorods with a stealth character for in vivo applications,"Niidome, Takuro; Yamagata, Masato; Okamoto, Yuri; Akiyama, Yasuyuki; Takahashi, Hironobu; Kawano, Takahito; Katayama, Yoshiki; Niidome, Yasuro",2006,,591
329,,,10.1021/cr00016a002,LARGE CLUSTERS AND COLLOIDS - METALS IN THE EMBRYONIC STATE,"SCHMID, G",1992,,1640
330,,,10.1016/j.jconrel.2007.05.027,Nanofabricated particles for engineered drug therapies: A preliminary Biodistribution study of PRINT (TM) nanoparticles,"Gratton, Stephanie E. A.; PohhauS, Patrick D.; Lee, Jin; Guo, Ii; Cho, Moo J.; DeSimone, Joseph M.",2007,,130
331,,,10.1016/j.jconrel.2005.12.022,Stabilizing of plasmid DNA in vivo by PEG-modified cationic gold nanoparticles and the gene expression assisted with electrical pulses,"Kawano, T; Yamagata, M; Takahashi, H; Niidome, Y; Yamada, S; Katayama, Y; Niidome, T",2006,,76
332,,,10.1016/s1359-6446(03)02903-9,Nanotech approaches to delivery and imaging drug,"Sahoo, SK; Labhasetwar, None",2003,,459
333,,,10.1021/jp0257449,Surface-enhanced Raman scattering: From noble to transition metals and from rough surfaces to ordered nanostructures,"Tian, ZQ; Ren, B; Wu, DY",2002,,846
334,,,10.1021/la010566g,"Facile fabrication of photoelectrochemical assemblies consisting of gold nanoparticles and a tris(2,2 '-bipyridine)ruthenium(II)-viologen linked thiol","Kuwahara, Y; Akiyama, T; Yamada, S",2001,,60
335,,,10.1146/annurev.mi.32.100178.000315,PHAGOCYTOSIS AS A SURFACE PHENOMENON,"VANOSS, CJ",1978,,356
336,,,10.1126/science.8128245,BIODEGRADABLE LONG-CIRCULATING POLYMERIC NANOSPHERES,"GREF, R; MINAMITAKE, Y; PERACCHIA, MT; TRUBETSKOY, None; TORCHILIN, None; LANGER, R",1994,,1866
337,,,10.1023/a:1015942306801,PROTEIN PRECOATING OF POLYLACTIDE MICROSPHERES CONTAINING A LIPOPHILIC IMMUNOPOTENTIATOR FOR ENHANCEMENT OF MACROPHAGE PHAGOCYTOSIS AND ACTIVATION,"TABATA, Y; IKADA, Y",1989,,41
338,,,10.1016/0169-409x(95)00039-a,SURFACE MODIFICATION OF NANOPARTICLES TO OPPOSE UPTAKE BY THE MONONUCLEAR PHAGOCYTE SYSTEM,"STORM, G; BELLIOT, SO; DAEMEN, T; LASIC, DD",1995,,508
339,,,10.1039/df9511100055,A STUDY OF THE NUCLEATION AND GROWTH PROCESSES IN THE SYNTHESIS OF COLLOIDAL GOLD,"TURKEVICH, J; STEVENSON, PC; HILLIER, J",1951,,3338
