id,seminal_id,survey_id,timestamp,research_area,research_area_details,interests,years_since_phd,num_pubs,topic,comment
0,0.0,1.0,18/07/2016 16:56:38,"Geography, Environmental Studies and Archaeology",,gardening; play; work; cities; visual culture;,4th year of PhD in Geography,Less than 5,Thinking about space and place. ,
1,2.0,3.0,18/07/2016 16:58:24,Biological Sciences,,"gold nanoparticles, brain, drug delivery, blood-brain barrier",0,5-15,gold nanoparticles in nanomedicine,
2,4.0,5.0,18/07/2016 17:08:50,Computer Science and Informatics,,"game development, procedural content generation, music in games, computational creativity, artificial intelligence, generative music",0,Less than 5,Music computing,
3,6.0,,18/07/2016 19:43:34,Mathematical Sciences,,"saddlepoint approximations, HDLSS, quantile regression, multivariate statistics",2,5-15,quantile regression,
4,7.0,8.0,18/07/2016 20:02:18,Mathematical Sciences,,"complex dynamics, quasiregular dynamics, complex analysis",3.5,16-25,Complex dynamics,
5,9.0,10.0,18/07/2016 20:28:47,Computer Science and Informatics,,"Natural Language Generation, Logics",1 (Part Time),Less than 5,Deduction in Question Generation,"It would be great to have this survey repeated every year, maybe with 3 publications per area instead of one."
6,11.0,12.0,18/07/2016 20:47:43,"Geography, Environmental Studies and Archaeology",,"environmenal geography, geography of post-socalism, post-colonial theory, diverse economies, sustainable consumption, informal economy, sharing economy, home gardening, environmental politics",18,51-100,diverse economies,
7,13.0,14.0,18/07/2016 20:50:01,Earth Systems and Environmental Sciences,,"Geochemistry, Tectonics, Earth systems",>40,More than 100,"Geochemistry, tectonics, geophysics",Note really sure what a survey paper is but have taken it to mean a review paper?
8,15.0,16.0,18/07/2016 21:04:49,Business and Management Studies,,Innovation; entrepreneurship; social enterprise; environmentally sustainable innovation; environmentally sustainable entrepreneurship,13,51-100,Entrepreneurship and small business,"As you doubtless are aware, there are massive variations in metrics both within and between fields and types of research output.  I am concerned that even 'area-based' metrics will miss the more fine-grained differences and lead in any event to unproductive 'game playing' behaviours."
9,17.0,18.0,18/07/2016 21:08:22,Biological Sciences,,"glycobiology, chemical biology, biochemistry",8,5-15,Glycobiology,
10,19.0,20.0,18/07/2016 21:47:32,Physics,,"Plasma science and engineering, plasma physics, semiconductor manufacturing, electrical discharges",34,More than 100,"Plasma physics for seminal, semiconductor manufacturing for survey paper",
11,21.0,22.0,18/07/2016 22:09:40,Mathematical Sciences,,"pure mathematics, combinatorics, graph theory",9,16-25,Combinatorics,
